ID;Name;Land_Nr;Erst_Ges;Zweit_Ges;Erst_Ges_AFD;Zweit_Ges_AFD;Anteil_AFD
287;Konstanz;8.0;156286.0;156400.0;13487.0;13341.0;8.53005115089514
288;Waldshut;8.0;134877.0;135022.0;11420.0;11265.0;8.343084830620196
289;Reutlingen;8.0;152477.0;152575.0;15356.0;15652.0;10.258561363263969
290;Tübingen;8.0;159628.0;159781.0;12484.0;12548.0;7.853249134753193
291;Ulm;8.0;175998.0;176165.0;15932.0;16046.0;9.108506229954871
292;Biberach;8.0;132171.0;132230.0;13469.0;14308.0;10.820539968237162
293;Bodensee;8.0;136755.0;136848.0;12584.0;11916.0;8.707471062784988
294;Ravensburg;8.0;145940.0;145978.0;11727.0;12650.0;8.665689350450068
295;Zollernalb – Sigmaringen;8.0;136396.0;136540.0;15554.0;16477.0;12.067525999707046
296;Saarbrücken;10.0;140398.0;140474.0;12569.0;13006.0;9.258652846790154
297;Saarlouis;10.0;156123.0;156279.0;15111.0;15651.0;10.014781256598775
298;St. Wendel;10.0;136980.0;137032.0;12346.0;12904.0;9.416778562671494
299;Homburg;10.0;139612.0;139883.0;16210.0;16068.0;11.486742491939692
